pl_name,sy_mnum,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_rvamp
EPIC 212737443 b,0,2019,13.60300000,2.586,7.20000,2.290000,
EPIC 212737443 c,0,2019,65.55000000,2.690,7.70000,2.170000,
EPIC 220492298 b,0,2021,0.76240600,0.990,0.93700,5.310000,
EPIC 220554210 c,0,2019,0.70531000,1.600,3.19000,4.280000,
EPIC 220674823 b,0,2016,0.57121200,1.600,7.72000,8.500000,6.370
EPIC 220674823 c,0,2016,13.33461500,2.200,5.80000,2.000000,1.670
EPIC 228836835 b,0,2021,0.72811300,1.100,1.37000,5.660000,
EPIC 246851721 b,0,2018,6.18023500,11.781,953.49000,3.100000,270.000
EPIC 248847494 b,0,2018,3650.00000000,12.442,4131.79000,,
EPIC 249893012 b,0,2020,3.59510000,1.950,8.75000,6.390000,3.550
EPIC 249893012 c,0,2020,15.62400000,3.670,14.67000,1.620000,3.660
EPIC 249893012 d,0,2020,35.74700000,3.940,10.18000,0.910000,1.970
FU Tau b,0,2008,,12.200,5085.28000,15.400000,
G 264-012 b,0,2021,2.30538000,1.390,2.50000,5.120000,2.720
G 264-012 c,0,2021,8.05180000,1.760,3.75000,3.780000,2.690
G 9-40 b,0,2019,5.74600700,2.025,4.76000,3.150000,
GJ 1061 b,0,2020,3.20400000,1.100,1.37000,5.660000,2.430
GJ 1061 c,0,2020,6.68900000,1.180,1.74000,5.820000,2.480
GJ 1061 d,0,2020,13.03100000,1.160,1.64000,5.770000,1.860
GJ 1132 b,0,2015,1.62893100,1.130,1.66000,6.300000,2.850
GJ 1132 c,0,2018,8.92900000,1.430,2.64000,4.960000,2.570
GJ 1148 b,0,2010,41.38000000,11.900,96.70000,0.315000,38.370
GJ 1148 c,0,2017,532.58000000,9.710,68.06000,0.409000,11.340
GJ 1214 b,0,2009,1.58040433,2.742,8.17000,2.200000,14.360
GJ 1252 b,0,2020,0.51824160,1.180,1.32000,4.410000,3.170
GJ 1265 b,0,2018,3.65110000,2.630,7.40000,2.240000,9.890
GJ 143 b,0,2019,35.61253000,2.610,22.70000,7.000000,5.510
GJ 15 A b,0,2014,11.44070000,1.550,3.03000,4.470000,1.680
