pl_name,sy_mnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim
Kepler-1276 b,0,2016,12.57200950,0.00010980,-0.00010980,0,1.190,0.200,-0.110,0,1.81000,,,0,5.900000,,,0,0.00925,0.00112,-0.00042,0,,,,
Kepler-1277 b,0,2016,40.83650120,0.00045860,-0.00045860,0,1.600,0.290,-0.110,0,3.19000,,,0,4.280000,,,0,0.01584,0.00272,-0.00076,0,,,,
Kepler-1278 b,0,2016,3.23941344,0.00001696,-0.00001696,0,1.010,0.310,-0.120,0,1.01000,,,0,5.390000,,,0,0.00819,0.00045,-0.00023,0,,,,
Kepler-1279 b,0,2016,23.47741010,0.00024450,-0.00024450,0,1.750,0.880,-0.270,0,3.71000,,,0,3.800000,,,0,0.01180,0.00221,-0.00056,0,,,,
Kepler-128 b,0,2013,15.09000000,,,0,1.430,0.090,-0.090,0,0.77000,0.48000,-0.25000,0,1.460000,0.950000,-0.510000,0,0.00807,0.00025,-0.00018,0,,,,
Kepler-128 c,0,2013,22.80400000,,,0,1.340,0.080,-0.080,0,0.90000,0.58000,-0.29000,0,2.070000,1.410000,-0.720000,0,0.00732,0.00031,-0.00022,0,,,,
Kepler-1280 b,0,2016,66.55790570,0.00077050,-0.00077050,0,1.870,0.830,-0.290,0,4.16000,,,0,3.500000,,,0,0.01338,0.00049,-0.00049,0,,,,
Kepler-1281 b,0,2016,3.11602791,0.00001300,-0.00001300,0,1.640,0.130,-0.140,0,3.33000,,,0,4.150000,,,0,0.01801,0.00046,-0.00103,0,,,,
Kepler-1282 b,0,2016,2.13194651,0.00000687,-0.00000687,0,1.550,0.210,-0.110,0,3.02000,,,0,4.460000,,,0,0.01567,0.00070,-0.00049,0,,,,
Kepler-1283 b,0,2016,12.94609780,0.00021850,-0.00021850,0,1.910,0.790,-0.310,0,4.31000,,,0,3.400000,,,0,0.01367,0.00070,-0.00046,0,,,,
Kepler-1284 b,0,2016,0.66407381,0.00000148,-0.00000148,0,1.210,0.100,-0.070,0,1.92000,,,0,5.960000,,,0,0.01354,0.00077,-0.00040,0,,,,
